Data,Squadra casa,Squadra ospite,Categoria,Girone,Ora,Campo,Giornata,A/R,Federazione
11/10/2025,Pol.Imiberg,Virescit 16,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,1,Andata,CSI
11/10/2025,Brembo,Ares Redona,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,1,Andata,CSI
11/10/2025,Locate Bergamasco,Dinamo Blu,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,1,Andata,CSI
11/10/2025,Giemme 16,Or.Monterosso,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,1,Andata,CSI
18/10/2025,Dinamo Blu,Giemme 16,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,2,Andata,CSI
18/10/2025,Ares Redona,Locate Bergamasco,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,2,Andata,CSI
18/10/2025,Virescit 16,Brembo,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,2,Andata,CSI
18/10/2025,Excelsior,Pol.Imiberg,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,2,Andata,CSI
25/10/2025,Brembo,Excelsior,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,3,Andata,CSI
25/10/2025,Locate Bergamasco,Virescit 16,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,3,Andata,CSI
25/10/2025,Giemme 16,Ares Redona,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,3,Andata,CSI
25/10/2025,Dinamo Blu,Or.Monterosso,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,3,Andata,CSI
01/11/2025,Ares Redona,Dinamo Blu,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,4,Andata,CSI
01/11/2025,Virescit 16,Giemme 16,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,4,Andata,CSI
01/11/2025,Excelsior,Locate Bergamasco,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,4,Andata,CSI
01/11/2025,Or.Monterosso,Pol.Imiberg,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,4,Andata,CSI
08/11/2025,Brembo,Pol.Imiberg,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,5,Andata,CSI
08/11/2025,Giemme 16,Excelsior,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,5,Andata,CSI
08/11/2025,Dinamo Blu,Virescit 16,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,5,Andata,CSI
08/11/2025,Ares Redona,Or.Monterosso,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,5,Andata,CSI
15/11/2025,Virescit 16,Ares Redona,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,6,Andata,CSI
15/11/2025,Excelsior,Dinamo Blu,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,6,Andata,CSI
15/11/2025,Pol.Imiberg,Locate Bergamasco,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,6,Andata,CSI
15/11/2025,Or.Monterosso,Brembo,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,6,Andata,CSI
22/11/2025,Locate Bergamasco,Brembo,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,7,Andata,CSI
22/11/2025,Giemme 16,Pol.Imiberg,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,7,Andata,CSI
22/11/2025,Ares Redona,Excelsior,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,7,Andata,CSI
22/11/2025,Virescit 16,Or.Monterosso,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,7,Andata,CSI
29/11/2025,Excelsior,Virescit 16,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,8,Andata,CSI
29/11/2025,Pol.Imiberg,Dinamo Blu,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,8,Andata,CSI
29/11/2025,Brembo,Giemme 16,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,8,Andata,CSI
29/11/2025,Locate Bergamasco,Or.Monterosso,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,8,Andata,CSI
06/12/2025,Giemme 16,Locate Bergamasco,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,9,Andata,CSI
06/12/2025,Dinamo Blu,Brembo,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,9,Andata,CSI
06/12/2025,Ares Redona,Pol.Imiberg,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,9,Andata,CSI
06/12/2025,Or.Monterosso,Excelsior,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,9,Andata,CSI
07/02/2026,Virescit 16,Pol.Imiberg,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,1,Ritorno,CSI
07/02/2026,Ares Redona,Brembo,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,1,Ritorno,CSI
07/02/2026,Dinamo Blu,Locate Bergamasco,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,1,Ritorno,CSI
07/02/2026,Or.Monterosso,Giemme 16,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,1,Ritorno,CSI
14/02/2026,Giemme 16,Dinamo Blu,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,2,Ritorno,CSI
14/02/2026,Locate Bergamasco,Ares Redona,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,2,Ritorno,CSI
14/02/2026,Brembo,Virescit 16,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,2,Ritorno,CSI
14/02/2026,Pol.Imiberg,Excelsior,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,2,Ritorno,CSI
21/02/2026,Excelsior,Brembo,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,3,Ritorno,CSI
21/02/2026,Virescit 16,Locate Bergamasco,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,3,Ritorno,CSI
21/02/2026,Ares Redona,Giemme 16,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,3,Ritorno,CSI
21/02/2026,Or.Monterosso,Dinamo Blu,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,3,Ritorno,CSI
28/02/2026,Dinamo Blu,Ares Redona,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,4,Ritorno,CSI
28/02/2026,Giemme 16,Virescit 16,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,4,Ritorno,CSI
28/02/2026,Locate Bergamasco,Excelsior,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,4,Ritorno,CSI
28/02/2026,Pol.Imiberg,Or.Monterosso,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,4,Ritorno,CSI
07/03/2026,Pol.Imiberg,Brembo,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,5,Ritorno,CSI
07/03/2026,Excelsior,Giemme 16,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,5,Ritorno,CSI
07/03/2026,Virescit 16,Dinamo Blu,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,5,Ritorno,CSI
07/03/2026,Or.Monterosso,Ares Redona,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,5,Ritorno,CSI
14/03/2026,Ares Redona,Virescit 16,Pulcini a 7,P,14:15,Oratorio (Sintetico) Via Galimberti 4 24124 Bergamo/Redona,6,Ritorno,CSI
14/03/2026,Dinamo Blu,Excelsior,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,6,Ritorno,CSI
14/03/2026,Locate Bergamasco,Pol.Imiberg,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,6,Ritorno,CSI
14/03/2026,Brembo,Or.Monterosso,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,6,Ritorno,CSI
21/03/2026,Brembo,Locate Bergamasco,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,7,Ritorno,CSI
21/03/2026,Pol.Imiberg,Giemme 16,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,7,Ritorno,CSI
21/03/2026,Excelsior,Ares Redona,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,7,Ritorno,CSI
21/03/2026,Or.Monterosso,Virescit 16,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,7,Ritorno,CSI
28/03/2026,Virescit 16,Excelsior,Pulcini a 7,P,14:30,Comunale Via Lochis 24129 Bergamo/Longuelo,8,Ritorno,CSI
28/03/2026,Dinamo Blu,Pol.Imiberg,Pulcini a 7,P,16:00,Oratorio (Sintetico) Via Terzi S. Agata 8 24035 Curno,8,Ritorno,CSI
28/03/2026,Giemme 16,Brembo,Pulcini a 7,P,15:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,8,Ritorno,CSI
28/03/2026,Or.Monterosso,Locate Bergamasco,Pulcini a 7,P,14:30,Or. P.Morosini (Sint) Via S.G.Barbarigo 24123 Bergamo/Monterosso,8,Ritorno,CSI
11/04/2026,Locate Bergamasco,Giemme 16,Pulcini a 7,P,14:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,9,Ritorno,CSI
11/04/2026,Brembo,Dinamo Blu,Pulcini a 7,P,15:00,Comunale Via Guzzanica 24044 Dalmine,9,Ritorno,CSI
11/04/2026,Pol.Imiberg,Ares Redona,Pulcini a 7,P,14:30,Imiberg (Sint) Via Riva di Villasanta 20 24128 Bergamo/S.Lucia,9,Ritorno,CSI
11/04/2026,Excelsior,Or.Monterosso,Pulcini a 7,P,14:30,Excelsior Viale G.Cesare (Sintetico) 24123 Bergamo,9,Ritorno,CSI
